Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-July-2013,226.10,227.00,221.25,222.00,223.729771960623914262,326391,826,73023384.00,324145,99.31,5.75,-4.10
11-July-2013,226.90,228.85,224.00,224.85,225.583888149134487350,1502,112,338827.00,1099,73.17,4.85,-2.05
10-July-2013,232.05,233.95,223.15,225.25,228.553859572612298299,2293,467,524074.00,1013,44.18,10.80,-6.80
9-July-2013,235.00,236.00,227.05,230.95,232.905686546463245492,2163,283,503775.00,636,29.40,8.95,-4.05
8-July-2013,220.60,233.00,219.25,230.50,226.487898211039892853,10453,599,2367478.00,8250,78.92,13.75,9.90
5-July-2013,221.50,228.00,221.50,224.50,224.163457022076092062,2129,129,477244.00,1978,92.91,6.50,3.00
4-July-2013,228.00,229.65,225.25,225.95,226.534474327628361858,2045,106,463263.00,840,41.08,4.40,-2.05
3-July-2013,227.70,238.00,225.30,226.95,229.845604002859185132,1399,202,321554.00,521,37.24,12.70,-0.75
2-July-2013,234.80,234.80,227.00,228.65,231.215224534501642935,1826,391,422199.00,517,28.31,7.80,-6.15
1-July-2013,226.00,231.95,225.00,229.95,229.104678826328310864,1261,145,288901.00,444,35.21,6.95,3.95
28-June-2013,231.50,231.95,223.20,227.65,227.711650485436893203,3090,357,703629.00,2173,70.32,8.75,-3.85
27-June-2013,234.70,237.90,221.85,225.60,229.984654731457800511,3519,330,809316.00,1381,39.24,16.05,-9.10
26-June-2013,240.50,241.00,234.20,235.90,236.813712807244501940,773,78,183057.00,539,69.73,6.80,-4.60
25-June-2013,235.05,239.30,232.10,236.40,236.827468785471055618,1762,191,417290.00,1090,61.86,7.20,1.35
24-June-2013,237.20,242.50,235.10,236.30,239.406515580736543909,706,129,169021.00,403,57.08,7.40,-0.90
21-June-2013,245.95,248.00,233.00,234.95,242.431188751597784405,2347,242,568986.00,1682,71.67,15.00,-11.00
20-June-2013,235.20,248.05,235.20,246.40,245.252659574468085106,4512,1089,1106580.00,3179,70.46,12.85,11.20
19-June-2013,236.00,245.90,234.00,243.35,239.214497041420118343,2028,683,485127.00,1165,57.45,11.90,7.35
18-June-2013,235.40,244.95,232.10,235.10,237.269836462749848576,3302,622,783465.00,1638,49.61,12.85,-0.30
17-June-2013,236.00,237.95,232.10,234.85,234.676741130091984231,1522,408,357178.00,311,20.43,5.85,-1.15
14-June-2013,226.05,243.15,226.05,237.15,238.121513944223107569,2510,409,597685.00,1459,58.13,17.10,11.10
13-June-2013,244.55,248.00,238.50,240.15,243.203629032258064516,1984,174,482516.00,1114,56.15,9.50,-4.40
12-June-2013,252.50,253.00,241.25,249.35,248.922674492790608651,7837,1184,1950807.00,3517,44.88,11.75,-3.15
11-June-2013,241.00,252.90,237.45,248.55,244.609135155372519655,8013,775,1960053.00,4727,58.99,15.45,7.55
10-June-2013,240.05,241.00,226.20,239.50,237.074954296160877513,3282,221,778080.00,1936,58.99,14.80,-0.55
7-June-2013,230.40,233.00,226.00,228.60,229.842732691425951398,2181,112,501287.00,1453,66.62,7.00,-1.80
6-June-2013,228.00,233.00,222.00,230.15,228.079531442663378545,1622,276,369945.00,755,46.55,11.00,2.15
5-June-2013,230.20,230.20,222.05,223.55,225.185710314150681123,3597,153,809993.00,1736,48.26,8.15,-6.65
4-June-2013,233.85,235.00,225.30,226.40,228.825112107623318385,1561,255,357196.00,726,46.51,9.70,-7.45
3-June-2013,232.10,234.00,228.30,231.35,232.058149058149058149,2442,130,566686.00,1890,77.40,5.70,-0.75
31-May-2013,227.00,238.00,218.95,234.50,233.939968247668188132,10078,774,2357647.00,6052,60.05,19.05,7.50
30-May-2013,227.80,229.90,224.05,227.70,227.584711922418710781,1753,266,398956.00,976,55.68,5.85,-0.10
29-May-2013,230.25,234.70,224.10,225.75,226.279691375034444750,3629,325,821169.00,2379,65.56,10.60,-4.50
28-May-2013,232.00,234.50,228.00,230.85,231.253784505788067675,3369,599,779094.00,2386,70.82,6.50,-1.15
27-May-2013,228.00,234.90,225.05,233.20,230.990570273911091154,2227,161,514416.00,1314,59.00,9.85,5.20
24-May-2013,237.10,237.10,225.25,228.15,228.278382581648522550,3215,199,733915.00,2616,81.37,11.85,-8.95
23-May-2013,240.00,242.10,230.00,234.60,235.512593601089176310,2938,284,691936.00,1512,51.46,12.10,-5.40
22-May-2013,245.00,250.00,240.10,243.65,244.236881005173688100,2706,122,660905.00,1702,62.90,9.90,-1.35
21-May-2013,252.40,252.40,241.30,244.05,245.802045728038507821,6648,265,1634092.00,4844,72.86,11.10,-8.35
20-May-2013,255.00,259.90,247.10,249.20,252.162420957542908762,5535,403,1395719.00,3015,54.47,12.80,-5.80
17-May-2013,261.00,263.00,251.00,254.90,256.918102531376302914,4701,242,1207772.00,3116,66.28,12.00,-6.10
16-May-2013,258.10,269.00,255.10,258.30,262.837701787884047908,5761,309,1514208.00,3097,53.76,13.90,0.20
15-May-2013,258.35,264.70,255.00,257.30,258.327925004506940688,5547,274,1432945.00,3489,62.90,9.70,-1.05
14-May-2013,271.50,271.50,256.00,257.65,263.035454103933948518,4118,318,1083180.00,2373,57.63,15.50,-13.85
13-May-2013,284.00,285.00,273.65,276.50,278.605032513429459994,7074,309,1970852.00,3252,45.97,11.35,-7.50
11-May-2013,285.00,298.90,285.00,293.65,293.286835748792270531,3312,120,971366.00,1029,31.07,13.90,8.65
10-May-2013,288.00,288.00,280.00,282.05,282.361730899256254225,5916,287,1670452.00,3296,55.71,8.00,-5.95
9-May-2013,289.00,297.50,286.15,287.90,291.306821926837306382,9103,537,2651766.00,4157,45.67,11.35,-1.10
8-May-2013,272.20,294.80,272.20,285.10,282.393939393939393939,8118,258,2292474.00,4274,52.65,22.60,12.90
7-May-2013,252.00,278.00,252.00,272.65,265.307507839881940601,10842,273,2876464.00,8240,76.00,26.00,20.65
6-May-2013,252.05,256.70,250.20,252.95,253.466844044207941056,4886,87,1238439.00,4095,83.81,6.50,0.90
3-May-2013,269.00,269.00,253.40,255.35,255.503416856492027334,2195,92,560830.00,1972,89.84,15.60,-13.65
2-May-2013,263.70,264.20,253.20,257.70,258.117451523545706371,1805,151,465902.00,1049,58.12,11.00,-6.00
30-April-2013,261.90,266.40,257.00,262.75,260.473115137346580946,3422,151,891339.00,2571,75.13,9.40,0.85
29-April-2013,289.60,289.60,258.00,259.70,263.487272727272727272,1375,292,362295.00,794,57.75,31.60,-29.90
26-April-2013,261.00,273.25,260.15,263.80,264.444352159468438538,3612,180,955173.00,2396,66.33,13.10,2.80
